"","Partition_wardD.Best.partition","Partition_wardD2.Best.partition","Partition_single.Best.partition","Partition_complete.Best.partition","Partition_average.Best.partition","Partition_mcquitty.Best.partition","Partition_median.Best.partition","Partition_centroid.Best.partition","Consenso"
"taxid_929769",1,1,1,1,1,1,1,1,"1"
"taxid_223313",1,1,1,1,1,1,1,1,"1"
"taxid_871521",1,1,1,1,1,1,1,1,"1"
"taxid_223316",1,1,1,1,1,1,1,1,"1"
"taxid_1002681",2,2,2,2,2,2,2,2,"2"
"taxid_51034",1,1,1,1,1,1,1,1,"1"
"taxid_759390",1,1,1,1,1,1,1,1,"1"
"taxid_1949198",2,2,2,2,2,2,2,2,"2"
"taxid_223318",2,2,2,2,2,2,2,2,"2"
"taxid_929766",1,1,1,1,1,1,1,1,"1"
"taxid_337823",2,2,2,2,2,2,2,2,"2"
"taxid_228897",1,1,1,1,1,1,1,1,"1"
"taxid_1046571",1,1,1,1,1,1,1,1,"1"
"taxid_932069",1,1,1,1,1,1,1,1,"1"
"taxid_932070",1,1,1,1,1,1,1,1,"1"
"taxid_367850",1,1,1,1,1,1,1,1,"1"
"taxid_1266995",2,2,2,2,2,2,2,2,"2"
"taxid_191460",2,2,2,2,2,2,2,2,"2"
"taxid_858513",2,2,2,2,2,2,2,2,"2"
"taxid_1266993",2,2,2,2,2,2,2,2,"2"
"taxid_536083",2,2,2,2,2,2,2,2,"2"
"taxid_1266994",2,2,2,2,2,2,2,2,"2"
"taxid_290090",2,2,2,2,2,2,2,2,"2"
"taxid_191463",2,2,2,2,2,2,2,2,"2"
"taxid_408719",1,1,1,1,1,1,1,1,"1"
"taxid_1093958",1,1,1,1,1,1,1,1,"1"
"taxid_1266977",2,2,2,2,2,2,2,2,"2"
"taxid_420255",2,2,2,2,2,2,2,2,"2"
"taxid_390441",2,2,2,2,2,2,2,2,"2"
"taxid_223321",1,1,1,1,1,1,1,1,"1"
"taxid_379728",2,2,2,2,2,2,2,2,"2"
"taxid_371401",2,2,2,2,2,2,2,2,"2"
"taxid_932073",1,1,1,1,1,1,1,1,"1"
"taxid_63723",1,1,1,1,1,1,1,1,"1"
"taxid_408136",2,2,2,2,2,2,2,2,"2"
"taxid_761702",1,1,1,1,1,1,1,1,"1"
"taxid_1221206",1,1,1,1,1,1,1,1,"1"
"taxid_85753",2,2,2,2,2,2,2,2,"2"
"taxid_761701",2,2,2,2,2,2,2,2,"2"
"taxid_390439",2,2,2,2,2,2,2,2,"2"
"taxid_945225",2,2,2,2,2,2,2,2,"2"
"taxid_873160",2,2,2,2,2,2,2,2,"2"
"taxid_1432565",2,2,2,2,2,2,2,2,"2"
"taxid_1302849",2,2,2,2,2,2,2,2,"2"
"taxid_1302850",2,2,2,2,2,2,2,2,"2"
"taxid_269275",2,2,2,2,2,2,2,2,"2"
"taxid_269277",1,1,1,1,1,1,1,1,"1"
"taxid_10829",1,1,1,1,1,1,1,1,"1"
"taxid_222474",2,2,2,2,2,2,2,2,"2"
"taxid_223324",1,1,1,1,1,1,1,1,"1"
"taxid_1051966",1,1,1,1,1,1,1,1,"1"
"taxid_223328",1,1,1,1,1,1,1,1,"1"
"taxid_202568",2,2,2,2,2,2,2,2,"2"
"taxid_1919062",2,2,2,2,2,2,2,2,"2"
"taxid_268785",2,2,2,2,2,2,2,2,"2"
"taxid_78395",2,2,2,2,2,2,2,2,"2"
"taxid_10836",2,2,2,2,2,2,2,2,"2"
"taxid_1868659",2,2,2,2,2,2,2,2,"2"
"taxid_1492296",2,2,2,2,2,2,2,2,"2"
"taxid_688540",2,2,2,2,2,2,2,2,"2"
"taxid_2169736",2,2,2,2,2,2,2,2,"2"
"taxid_693892",2,2,2,2,2,2,2,2,"2"
"taxid_652718",2,2,2,2,2,2,2,2,"2"
"taxid_1198219",2,2,2,2,2,2,2,2,"2"
"taxid_225752",2,2,2,2,2,2,2,2,"2"
"taxid_1489312",2,2,2,2,2,2,2,2,"2"
"taxid_1489311",2,2,2,2,2,2,2,2,"2"
"taxid_574890",2,2,2,2,2,2,2,2,"2"
"taxid_994388",2,2,2,2,2,2,2,2,"2"
"taxid_1392388",2,2,2,2,2,2,2,2,"2"
"taxid_2026196",2,2,2,2,2,2,2,2,"2"
"taxid_2026195",2,2,2,2,2,2,2,2,"2"
"taxid_999288",2,2,2,2,2,2,2,2,"2"
"taxid_652717",2,2,2,2,2,2,2,2,"2"
"taxid_940846",2,2,2,2,2,2,2,2,"2"
"taxid_100755",2,2,2,2,2,2,2,2,"2"
"taxid_1513529",2,2,2,2,2,2,2,2,"2"
"taxid_1513528",2,2,2,2,2,2,2,2,"2"
"taxid_603333",2,2,2,2,2,2,2,2,"2"
"taxid_1571533",2,2,2,2,2,2,2,2,"2"
"taxid_1899219",2,2,2,2,2,2,2,2,"2"
"taxid_1914900",2,2,2,2,2,2,2,2,"2"
"taxid_2169737",2,2,2,2,2,2,2,2,"2"
"taxid_180526",2,2,2,2,2,2,2,2,"2"
"taxid_439423",2,2,2,2,2,2,2,2,"2"
"taxid_336987",1,1,1,1,1,1,1,1,"1"
"taxid_223332",2,2,2,2,2,2,2,2,"2"
"taxid_223334",2,2,2,2,2,2,2,2,"2"
"taxid_905054",2,2,2,2,2,2,2,2,"2"
"taxid_409287",2,2,2,2,2,2,2,2,"2"
"taxid_67762",2,2,2,2,2,2,2,2,"2"
"taxid_211866",2,2,2,2,2,2,2,2,"2"
"taxid_223337",2,2,2,2,2,2,2,2,"2"
"taxid_196691",2,2,2,2,2,2,2,2,"2"
"taxid_530536",2,2,2,2,2,2,2,2,"2"
"taxid_565052",1,1,1,1,1,1,1,1,"1"
"taxid_10830",2,2,2,2,2,2,2,2,"2"
"taxid_2060142",2,2,2,2,2,2,2,2,"2"
"taxid_2027645",2,2,2,2,2,2,2,2,"2"
"taxid_1340746",2,2,2,2,2,2,2,2,"2"
"taxid_858512",2,2,2,2,2,2,2,2,"2"
"taxid_240492",2,2,2,2,2,2,2,2,"2"
"taxid_983437",1,1,1,1,1,1,1,1,"1"
"taxid_1701549",1,1,1,1,1,1,1,1,"1"
"taxid_172391",1,1,1,1,1,1,1,1,"1"
"taxid_536084",1,1,1,1,1,1,1,1,"1"
"taxid_128941",2,2,2,2,2,2,2,2,"2"
"taxid_1195378",1,1,1,1,1,1,1,1,"1"
"taxid_1632184",2,2,2,2,2,2,2,2,"2"
"taxid_10831",1,1,1,1,1,1,1,1,"1"
"taxid_223342",1,1,1,1,1,1,1,1,"1"
"taxid_296190",1,1,1,1,1,1,1,1,"1"
"taxid_1089387",2,2,2,2,2,2,2,2,"2"
"taxid_1608257",2,2,2,2,2,2,2,2,"2"
"taxid_439422",2,2,2,2,2,2,2,2,"2"
"taxid_392761",2,2,2,2,2,2,2,2,"2"
"taxid_220608",2,2,2,2,2,2,2,2,"2"
"taxid_223344",2,2,2,2,2,2,2,2,"2"
"taxid_1498504",2,2,2,2,2,2,2,2,"2"
"taxid_1955054",2,2,2,2,2,2,2,2,"2"
"taxid_693894",2,2,2,2,2,2,2,2,"2"
"taxid_507474",2,2,2,2,2,2,2,2,"2"
"taxid_1329381",2,2,2,2,2,2,2,2,"2"
